fixture_id,kickoff,team,player,p_shots_gt0.5,odds_shots_gt0.5,ev_shots_gt0.5,p_shots_gt1.5,odds_shots_gt1.5,ev_shots_gt1.5,p_shots_gt2.5,odds_shots_gt2.5,ev_shots_gt2.5,p_sot_gt0.5,odds_sot_gt0.5,ev_sot_gt0.5,p_sot_gt1.5,odds_sot_gt1.5,ev_sot_gt1.5
1557368,2026-08-22T11:30:00+00:00,Hull City,Konstantinos Tzolakis,,,,,,,,,,,,,,,
1557368,2026-08-22T11:30:00+00:00,Hull City,Nobel Mendy,,2.5,,,9.0,,,21.0,,,6.0,,,,
1557368,2026-08-22T11:30:00+00:00,Hull City,John Egan,,2.5,,,9.0,,,21.0,,,6.0,,,,
1557368,2026-08-22T11:30:00+00:00,Hull City,Semi Ajayi,,2.5,,,9.0,,,21.0,,,6.0,,,,
1557368,2026-08-22T11:30:00+00:00,Hull City,Lewie Coyle,,2.1,,,6.5,,,19.0,,,5.0,,,21.0,
1557368,2026-08-22T11:30:00+00:00,Hull City,Matt Crooks,,1.44,,,3.0,,,7.0,,,3.0,,,13.0,
1557368,2026-08-22T11:30:00+00:00,Hull City,Regan Slater,,1.4,,,2.75,,,6.5,,,3.0,,,15.0,
1557368,2026-08-22T11:30:00+00:00,Hull City,Ryan Giles,,1.83,,,5.0,,,15.0,,,3.75,,,21.0,
1557368,2026-08-22T11:30:00+00:00,Hull City,Elliot Stroud,,1.57,,,3.5,,,10.0,,,3.75,,,21.0,
1557368,2026-08-22T11:30:00+00:00,Hull City,Mohamed Belloumi,,1.2,,,1.83,,,3.5,,,2.1,,,7.0,
1557368,2026-08-22T11:30:00+00:00,Hull City,Oli McBurnie,,1.14,,,1.62,,,2.75,,,1.83,,,5.5,
1557368,2026-08-22T11:30:00+00:00,Manchester United,Senne Lammens,,,,,,,,,,,,,,,
1557368,2026-08-22T11:30:00+00:00,Manchester United,Noussair Mazraoui,,1.73,,,4.33,,,13.0,,,3.5,,,19.0,
1557368,2026-08-22T11:30:00+00:00,Manchester United,Harry Maguire,,1.57,,,3.5,,,10.0,,,3.0,,,15.0,
1557368,2026-08-22T11:30:00+00:00,Manchester United,Ayden Heaven,,1.67,,,4.0,,,11.0,,,3.5,,,19.0,
1557368,2026-08-22T11:30:00+00:00,Manchester United,Luke Shaw,,1.83,,,5.0,,,15.0,,,3.75,,,21.0,
1557368,2026-08-22T11:30:00+00:00,Manchester United,Andrey Santos,,1.22,,,1.91,,,3.75,,,2.1,,,7.0,
1557368,2026-08-22T11:30:00+00:00,Manchester United,Youri Tielemans,,1.25,,,2.1,,,4.33,,,2.25,,,9.0,
1557368,2026-08-22T11:30:00+00:00,Manchester United,Bryan Mbeumo,,1.04,,,1.2,,,1.62,,,1.33,,,2.62,
1557368,2026-08-22T11:30:00+00:00,Manchester United,Bruno Fernandes,,1.03,,,1.18,,,1.57,,,1.5,,,3.4,
